"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Inorganic chemicals",628,"Hydrogen",62804,"Chemical Products",6,6264,1995
"Inorganic chemicals",628,"Ammonia",62814,"Chemical Products",6,26402695,1995
"Inorganic chemicals",628,"Iron Oxides and Hydroxides",62821,"Chemical Products",6,15228,1995
"Organic chemicals",629,"Halogenated Hydrocarbons",62903,"Chemical Products",6,27532,1995
"Organic chemicals",629,"Aldehydes",62912,"Chemical Products",6,122956,1995
"Organic chemicals",629,"Polycarboxylic Acids",62917,"Chemical Products",6,15199.000000000002,1995
"Organic chemicals",629,"Oxygen Amino Compounds",62922,"Chemical Products",6,170724.00000000003,1995
"Organic chemicals",629,"Diazo, Azo or Aoxy Compounds",62927,"Chemical Products",6,29035.999999999996,1995
"Organic chemicals",629,"Organo-Sulfur Compounds",62930,"Chemical Products",6,52308,1995
"Organic chemicals",629,"Other Organo-Inorganic Compounds",62931,"Chemical Products",6,7945.000000000001,1995
"Organic chemicals",629,"Nitrogen Heterocyclic Compounds",62933,"Chemical Products",6,13069,1995
"Organic chemicals",629,"Antibiotics",62941,"Chemical Products",6,1573349,1995
"Pharmaceutical products",630,"Unpackaged Medicaments",63003,"Chemical Products",6,35872,1995
"Pharmaceutical products",630,"Packaged Medicaments",63004,"Chemical Products",6,300055,1995
"Pharmaceutical products",630,"Bandages",63005,"Chemical Products",6,48321,1995
"Fertilizers",631,"Animal or Vegetable Fertilizers",63101,"Chemical Products",6,25924,1995
"Fertilizers",631,"Nitrogenous Fertilizers",63102,"Chemical Products",6,121832286,1995
"Fertilizers",631,"Phosphatic Fertilizers",63103,"Chemical Products",6,16125.999999999998,1995
"Fertilizers",631,"Mixed Mineral or Chemical Fertilizers",63105,"Chemical Products",6,18828787,1995
"Paints, dyes, & varnishes",632,"Synthetic Tanning Extracts",63202,"Chemical Products",6,1436,1995
"Paints, dyes, & varnishes",632,"Synthetic Coloring Matter",63204,"Chemical Products",6,16353,1995
"Paints, dyes, & varnishes",632,"Nonaqueous Paints",63208,"Chemical Products",6,24822,1995
